subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10034,中央财经大学,206,617,2324,014,汉语言文学,618,2189,618.0,,1,历,,,38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,006,经济与贸易类,617,2306,620.0,,4,历,,国际经济与贸易、国际经济与贸易(“国际贸易+应统”双学位项目)、国际商务、贸易经济,38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,008,经济学类,617,2306,622.0,,3,历,,经济学、国民经济管理,38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,009,工商管理类(商学院),617,2306,617.0,,3,历,,工商管理、工商管理(“法学+工管”双学位项目)、市场营销(大数据营销)、人力资源管理、供应链管理、供应链管理(供应链、经统双学位项目),38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,207,611,3094,007,国际经济与贸易(中外合作办学),611,3108,617.0,,6,历,,中外合作,6,6,,中外合作,1
历史,10008,北京科技大学,209,603,4596,005,社会科学试验班,609,3421,612.0,,2,历,,法学、社会工作、社会工作(社会管理)、行政管理,9,9,,,3
历史,10008,北京科技大学,209,603,4596,004,工商管理类(数智管理试验班),607,3766,607.0,,2,历,,工商管理(工商、智能双学士学位)、会计学,9,9,,,3
历史,10008,北京科技大学,209,603,4596,006,外国语言文学类,603,4540,608.0,,5,历,,英语、日语、德语,9,9,,,3
历史,10036,对外经济贸易大学,103,614,2746,004,西班牙语,623,1682,623.0,,2,历,,选拔进入国贸双学士学位项目,12,12,,,6
历史,10036,对外经济贸易大学,103,614,2746,001,法语,615,2597,615.0,,2,历,,选拔进入国贸双学士学位项目,12,12,,,6
历史,10036,对外经济贸易大学,103,614,2746,002,德语,615,2597,615.0,,2,历,,选拔进入财管双学士学位项目,12,12,,,6
历史,10036,对外经济贸易大学,103,614,2746,003,日语,614,2753,617.0,,2,历,,选拔进入国贸双学士学位项目,12,12,,,6
历史,10036,对外经济贸易大学,103,614,2746,005,越南语,614,2753,614.0,,2,历,,全部进入财管双学士学位项目,12,12,,,6
历史,10036,对外经济贸易大学,103,614,2746,006,希腊语,613,2896,617.0,,2,历,,,12,12,,,6
历史,10036,对外经济贸易大学,207,618,2176,019,海关管理,636,735,642.0,,2,历,,海关与大数据应用拔尖人才实验班,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,017,法学类,629,1181,637.0,,6,历,,法学、法学(大数据双学士学位项目)、法学(涉外型卓越经贸法律人才实验班),38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,014,国际经济与贸易,624,1586,631.0,,2,历,,国际组织人才基地班；含“国际经济与贸易+法学”双学位项目,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,013,经济学类,621,1890,624.0,,5,历,,国际经济与贸易、财政学、税收学,38,38,,,9
