subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
物理,10576,韶关学院,234,物+化,"园艺(应用技术类,与广东农工商职业技术学院协同培养)",494,175204,50,50,,协同培养,1
物理,10739,天水师范学院,214,物+化+生,生物科学(师范)，生物技术,494,175327,6,6,,普师,2
物理,13684,珠海科技学院,210,物+生,护理学,494,175332,51,51,,民办,1
物理,10383,铜陵学院,206,物+化,应用统计学,494,175396,5,5,,,1
物理,13684,珠海科技学院,208,物,会计学，汉语言文学，财务管理，金融学，国际经济与贸易，商务英语，英语，电子商务，工商管理，投资学，学前教育(师范)，人力资源管理，健康服务与管理，市场营销，物流管理，城乡规划(5年)，行政管理，社会工作，广告学，酒店管理，汉语国际教育，日语，旅游管理，劳动与社会保障，朝鲜语，建筑学(5年)，会展经济与管理,494,175423,1002,1002,,民办,27
物理,10169,鞍山师范学院,204,物,社会工作,494,175490,1,1,,,1
物理,10582,嘉应学院,216,物,新闻学，日语，旅游管理，房地产开发与管理，建筑学,494,175550,123,123,,,5
物理,10191,吉林建筑大学,210,物+化,机械工程，土木工程，建筑环境与能源应用工程，城市地下空间工程，道路桥梁与渡河工程，测绘工程，给排水科学与工程,494,175626,15,15,,,7
物理,10435,青岛农业大学,203,物+化,马业科学，农学，生物科学，环境科学，水生动物医学，环境工程，植物保护，农业资源与环境，园艺，水产养殖学，动物科学，草坪科学与工程,494,175630,61,61,,,12
物理,11688,山东工商学院,207,物,经济学，会计学，经济统计学，劳动与社会保障，工业工程，城市管理，工程管理，工商管理，电子商务，资产评估，行政管理，数字经济,494,175770,15,15,,,12
物理,11765,河南城建学院,206,物+化,电气工程及其自动化，土木工程，测绘工程,494,175824,15,15,,,3
物理,51721,河北环境工程学院,208,物+化,软件工程，海洋资源与环境，环境科学，环境生态工程,494,176062,12,12,,,4
物理,10483,商丘师范学院,206,物,金融数学，电子商务，计算金融,494,176100,3,3,,,3
